V2_Gene	baseMean	DESeq_log2FC	lfcSE	pvalue	adj_pvalue	IHW_pvalue	LBS6R1.1	LBS6R1.2	LBS6R1.3	LBS6R1.4	LBS4.4	LBS4.5	LBS4.6	LBS4.7	LBS6R1_Mean	LBS4_Mean	log2FC
H2scaf72-aug15747	706.2871632	2.462758179	0.220047543	4.47e-29	2.59e-27	3.98e-29	136.0821972	331.5993193	135.1971164	165.5579801	1217.580375	1198.921323	1354.161941	1111.197054	192.1091532	1220.465173	2.667432963
H2scaf29-aug7513	54.79977273	3.297319653	0.295757163	7.26e-29	3.01e-27	4.65e-29	1.008016275	12.90656033	4.005840485	8.949080005	106.2388351	80.64493203	111.2380141	113.4069035	6.717374275	102.8821712	3.936951769
H2scaf12-aug820	29.61009103	4.091041541	0.372556787	4.72e-28	2.07e-26	3.31e-28	0	0.992812333	0	0	70.82589005	63.61989082	40.45018696	60.99194808	0.248203083	58.97197898	7.892364761
H2scaf22-aug5889	86.88430165	2.384891718	0.220568074	3e-27	1.12e-25	1.85e-27	15.12024413	31.76999467	35.05110425	16.77952501	151.025795	143.3687681	159.962103	141.9968791	24.68021701	149.0883863	2.594740893
H2scaf25-aug5066	94.57035359	2.884989349	0.266391521	2.48e-27	1.42e-25	2.35e-27	15.12024413	9.928123334	19.02774231	26.84724002	235.3919287	192.6517821	122.2698833	135.3258848	17.73083745	171.4098697	3.273117599
H2scaf47-aug13916	47.09788569	3.06828746	0.285029522	5.05e-27	2.15e-25	3.6e-27	6.048097652	8.935311	10.01460121	3.355905002	107.2803923	68.99621962	87.33563094	84.8169278	7.088478717	87.10729266	3.619245563
H2scaf37-aug8543	109.5804564	2.223693226	0.206549887	4.99e-27	3.3e-25	5.57e-27	26.20842316	34.74843167	44.06424534	35.79632002	234.3503715	189.0675629	160.8814254	151.526871	35.20435505	183.9565577	2.385539289
H2scaf16-aug1374	55.01493056	2.595288934	0.245185695	3.5e-26	1.29e-24	2.24e-26	10.08016275	13.89937267	15.02190182	13.42362001	112.4881783	94.98180883	101.1254674	79.09893267	13.10626431	96.92359681	2.886591412
H2scaf12-aug821	113.8772257	2.710496934	0.265968351	2.17e-24	1.1e-22	2.05e-24	23.18437433	37.72686867	25.03650303	10.06771501	135.4024369	181.8991245	253.732991	243.9677923	24.00386526	203.7505862	3.085465568
H2scaf15-aug538	84.76619488	2.4894601	0.246661988	5.96e-24	2.3e-22	4.44e-24	20.16032551	27.79874533	26.03796315	12.30498501	205.1867697	137.9924392	132.3824301	116.265901	21.57550475	147.956885	2.777710616
H2scaf44-aug26897	82.68255572	2.13864455	0.221448764	4.57e-22	1.33e-20	2.82e-22	27.21643943	30.77718233	36.05256437	15.66089001	158.3166954	148.7450969	110.3186917	134.3728856	27.42676904	137.9383424	2.330366952
H2scaf14-aug302	44.02515842	2.420750762	0.258134349	6.73e-21	1.77e-19	4.05e-21	14.11222785	13.89937267	10.01460121	7.830445004	86.44924815	65.41200042	75.38443934	79.09893267	11.46416168	76.58615515	2.739952751
H2scaf41-aug12281	22.70002692	3.277669425	0.349984474	7.59e-21	3.29e-19	7.63e-21	2.016032551	1.985624667	2.002920243	1.118635001	41.66228827	43.01063042	45.96612155	43.83796268	1.780803115	43.61925073	4.614365062
H2scaf2-aug5318	50.17037277	2.449419788	0.26738006	5.15e-20	1.5e-18	3.61e-20	9.072146478	13.89937267	10.01460121	17.89816001	114.5712927	74.37254843	91.01292067	70.52193997	12.72107009	87.61967545	2.784034836
H2scaf9-aug22675	52.85686014	2.270129569	0.253833152	3.77e-19	1.11e-17	2.82e-19	10.08016275	14.892185	18.02628218	19.01679501	106.2388351	94.98180883	65.2718926	94.34691969	15.50385624	90.20986405	2.540658096
H2scaf22-aug5888	30.23717388	2.733337819	0.310077956	1.2e-18	3.16e-17	8.32e-19	3.024048826	4.964061667	7.010220849	6.711810004	67.70121843	48.38695922	45.96612155	58.13295052	5.427535336	55.04681243	3.342289906
H2scaf100-aug19362	41.91900139	2.756582947	0.33077839	7.84e-17	1.87e-15	5.45e-17	0	8.935311	3.004380364	15.66089001	77.07523329	69.89227442	85.49698608	75.28693591	6.900145343	76.93785743	3.478994998
H2scaf81-aug17879	23.85287626	3.08426548	0.372540673	1.24e-16	3.65e-15	1.08e-16	2.016032551	2.978437	1.001460121	1.118635001	70.82589005	52.86723322	26.6603505	33.35497161	1.778641168	45.92711134	4.690498657
H2scaf80-aug17791	25.87746034	2.826651205	0.343298861	1.81e-16	5.06e-15	1.5e-16	2.016032551	3.971249334	7.010220849	1.118635001	44.78695989	33.15402761	61.59460288	53.36795457	3.529034433	48.22588624	3.772462339
H2scaf933-aug24782	29.29011489	2.379992221	0.296133288	9.21e-16	1.77e-14	5.54e-16	8.064130202	4.964061667	7.010220849	8.949080005	58.32720357	45.69879482	44.12747669	57.17995133	7.246873181	51.3333566	2.824466046
H2scaf71-aug15843	36.39531965	2.063299433	0.262049149	3.44e-15	7.51e-14	2.41e-15	15.12024413	8.935311	15.02190182	8.949080005	60.41031799	57.34750722	63.43324774	61.94494727	12.00663424	60.78400505	2.339859953
H2scaf9-aug22498	14.35874924	3.055558658	0.391862101	6.31e-15	1.52e-13	5.07e-15	1.008016275	0	1.001460121	0	36.45450223	23.29742481	33.09560752	20.01298296	0.502369099	28.21512938	5.811577428
H2scaf16-aug1553	68.97579471	2.306494042	0.299987394	1.49e-14	2.8e-13	9.52e-15	25.20040688	8.935311	10.01460121	27.96587502	105.1972779	74.37254843	158.1234581	141.9968791	18.02904853	119.9225409	2.73370769
H2scaf7-aug2208	14.4110431	2.926243155	0.379799838	1.31e-14	3.85e-13	1.32e-14	2.016032551	0.992812333	0	1.118635001	29.16360179	26.88164401	30.33764022	24.77797891	1.031869971	27.79021623	4.751243971
H2scaf22-aug5890	26.54133953	2.305567407	0.307506209	6.5e-14	1.57e-12	5.63e-14	5.040081377	5.956874	8.011680971	7.830445004	43.74540268	35.84219201	48.72408884	57.17995133	6.709770338	46.37290872	2.78894693
H2scaf165-aug23121	35.56127171	2.12644743	0.285992675	1.04e-13	1.99e-12	7.25e-14	11.08817903	12.90656033	8.011680971	11.18635001	76.03367609	62.72383602	62.51392531	40.02596593	10.79819258	60.32435084	2.481950633
H2scaf23-aug6305	28.50490343	2.585029189	0.34670914	8.93e-14	2.44e-12	8.97e-14	0	5.956874	11.01606133	2.237270001	67.70121843	49.28301402	42.28883183	49.55595782	4.802551334	52.20725552	3.44237738
H2scaf44-aug26901	16.41187258	2.770189981	0.379890941	3.05e-13	7.94e-12	3.07e-13	1.008016275	2.978437	0	2.237270001	24.99737296	46.59484962	22.98306077	30.49597404	1.555930819	31.26781435	4.328828556
H2scaf25-aug5068	25.00109449	2.484693337	0.356780538	3.3e-12	6.47e-11	2.74e-12	5.040081377	2.978437	7.010220849	2.237270001	65.61810402	60.03567162	28.49899536	28.58997566	4.316502307	45.68568667	3.403807575
H2scaf12-aug815	29.2699456	2.029963267	0.295563684	6.51e-12	1.05e-10	4.56e-12	8.064130202	7.942498667	9.013141092	12.30498501	65.61810402	37.63430161	46.88544398	46.69696025	9.331188742	49.20870247	2.398780687
H2scaf12-aug891	19.66367523	2.248706246	0.338551162	3.09e-11	5.43e-10	2.56e-11	5.040081377	4.964061667	5.007300607	3.355905002	33.32983061	23.29742481	42.28883183	40.02596593	4.591837163	34.73551329	2.91926803
H2scaf141-aug21840	24.96041669	2.033434583	0.308101123	4.11e-11	7.2e-10	3.46e-11	10.08016275	6.949686334	8.011680971	5.593175003	41.66228827	33.15402761	55.15934586	39.07296674	7.658676265	42.26215712	2.464199445
H2scaf25-aug5116	28.10806121	2.068794151	0.313741983	4.28e-11	7.49e-10	3.6e-11	8.064130202	2.978437	8.011680971	14.54225501	61.45187519	48.38695922	40.45018696	40.97896512	8.399125795	47.81699662	2.509212436
H2scaf12-aug1284	11.90418771	2.573124309	0.393996292	6.54e-11	1.08e-09	5.3e-11	1.008016275	2.978437	0	0	20.83114413	15.23293161	28.49899536	26.68397729	0.996613319	22.8117621	4.516600227
H2scaf11-aug7027	12.83817961	2.469347436	0.375769569	4.98e-11	1.29e-09	6.35e-11	1.008016275	1.985624667	2.002920243	2.237270001	27.08048737	22.40137001	19.30577105	26.68397729	1.808457796	23.86790143	3.722239888
H2scaf71-aug15842	18.63970476	1.972830207	0.330311394	2.33e-09	3.31e-08	1.94e-09	7.056113927	4.964061667	7.010220849	3.355905002	31.2467162	38.53035641	32.17628508	24.77797891	5.596575361	31.68283415	2.501085203
H2scaf62-aug14354	18.41855779	1.982803712	0.335852454	3.55e-09	4.95e-08	2.95e-09	4.032065101	5.956874	6.008760728	5.593175003	42.70384547	24.19347961	32.17628508	26.68397729	5.397718708	31.43939686	2.54215184
H2scaf39-aug10408	16.21482011	1.953868217	0.346651013	1.74e-08	2.61e-07	1.75e-08	4.032065101	1.985624667	5.007300607	7.830445004	34.37138782	27.77769881	22.98306077	25.7309781	4.713858845	27.71578138	2.555727218
H2scaf41-aug12142	7.615105256	2.271144673	0.408748374	2.75e-08	3.3e-07	2.23e-08	0	1.985624667	0	0	14.58180089	10.7526576	19.30577105	14.29498783	0.496406167	14.73380434	4.891465142
H2scaf112-aug20416	9.529419831	2.162862232	0.390709016	3.1e-08	4.15e-07	2.86e-08	1.008016275	1.985624667	2.002920243	1.118635001	14.58180089	15.23293161	18.38644862	21.91898134	1.528799046	17.53004062	3.51935865
H2scaf51-aug12713	12.46581761	2.005309335	0.366317133	4.39e-08	5.85e-07	4.16e-08	4.032065101	0.992812333	4.005840485	3.355905002	21.87270134	19.71320561	25.74102807	20.01298296	3.09665573	21.83497949	2.81785827
H2scaf69-aug15401	8.214767457	2.262943734	0.410282357	3.48e-08	6.21e-07	4.44e-08	0	0.992812333	1.001460121	0	15.6233581	8.064493203	25.74102807	14.29498783	0.498568114	15.9309668	4.997899395
H2scaf62-aug14303	19.41770196	1.935052527	0.358448874	6.72e-08	7.98e-07	5.83e-08	0	5.956874	8.011680971	7.830445004	28.12204458	24.19347961	45.96612155	35.26096999	5.449749994	33.38565393	2.614966346
H2scaf25-aug5115	7.282173198	2.18601959	0.410312407	9.95e-08	1.09e-06	8.06e-08	0	0	1.001460121	1.118635001	12.49868648	8.064493203	17.46712619	18.10698459	0.53002378	14.03432261	4.726758531
H2scaf877-aug24729	8.202723349	1.955907679	0.396863765	8.29e-07	7.77e-06	6.72e-07	1.008016275	1.985624667	2.002920243	1.118635001	12.49868648	13.440822	20.22509348	13.34198864	1.528799046	14.87664765	3.282578773
